,game_id,game_date,week,home_team,predicted_home_score,away_team,predicted_away_score,predicted_spread,vegas_line_home,bets,total_home_score,total_away_score,win_bet
0,2019122900,2019-12-29,17,BAL,22.2980959,PIT,15.06293167,-7.235164229,2.0,BAL,28,10,1.0
1,2019122901,2019-12-29,17,BUF,20.97808839,NYJ,19.51884304,-1.45924535,-1.5,--,6,13,
2,2019122912,2019-12-29,17,TB,25.17149852,ATL,21.02075874,-4.150739781,-1.0,TB,21,28,0.0
3,2019122911,2019-12-29,17,NYG,22.62290212,PHI,26.49136246,3.868460343,4.0,--,17,34,
4,2019122902,2019-12-29,17,CAR,19.05151599,NO,31.41934859,12.3678326,13.5,--,10,42,
5,2019122903,2019-12-29,17,CIN,25.65752951,CLE,20.35795907,-5.299570449,2.5,CIN,33,23,1.0
6,2019122904,2019-12-29,17,DAL,24.88300379,WAS,24.68274408,-0.200259713,-13.0,WAS,47,16,0.0
7,2019122905,2019-12-29,17,DET,13.19834864,GB,26.17432343,12.9759748,13.5,--,20,20,
8,2019122906,2019-12-29,17,HOU,23.69944751,TEN,28.95017969,5.250732174,10.0,HOU,14,35,0.0
9,2019122907,2019-12-29,17,JAX,19.31261613,IND,25.13116393,5.818547793,5.0,--,38,20,
10,2019122908,2019-12-29,17,KC,23.50553115,LAC,17.88513116,-5.620399992,-10.0,LAC,31,21,0.0
11,2019122909,2019-12-29,17,MIN,22.02105111,CHI,21.2880671,-0.732984008,5.5,MIN,19,21,1.0
12,2019122910,2019-12-29,17,NE,24.49251643,MIA,24.78333241,0.290815979,-17.5,MIA,24,27,1.0
13,2019122913,2019-12-29,17,DEN,23.82792693,OAK,19.87391598,-3.954010945,-5.5,--,16,15,
14,2019122914,2019-12-29,17,LA,24.60529385,ARI,21.16016512,-3.445128732,-7.0,ARI,31,24,0.0
15,2019122915,2019-12-29,17,SEA,23.61894406,SF,26.21899756,2.600053501,3.5,--,21,26,
