,game_id,ydsnet,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,third_down_converted,third_down_failed,interception,fourth_down_converted,fourth_down_converted,complete_pass,rush_attempt,pass_attempt,rush_touchdown,pass_touchdown,completion_perc,third_down_perc,team,game_date,type,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,win,team_score
0,2011010800,1934,312,220.0,113.0,5.0,11.0,6.0,7.0,0.0,0.0,0.0,18.0,27.0,27.0,0.0,1.0,0.6666666666666666,0.03278688524590164,IND,2011-01-08,post,IND,NYJ,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010800/2011010800_gtd.json,16,17,0,16
1,2011010800,2796,353,307.0,91.0,10.0,12.0,8.0,7.0,1.0,0.0,0.0,18.0,38.0,32.0,2.0,0.0,0.5625,0.043243243243243246,NYJ,2011-01-08,post,IND,NYJ,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010800/2011010800_gtd.json,16,17,1,17
2,2011010801,3673,474,404.0,193.0,7.0,22.0,6.0,7.0,0.0,0.0,0.0,39.0,23.0,61.0,2.0,2.0,0.639344262295082,0.03278688524590164,NO,2011-01-08,post,SEA,NO,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010801/2011010801_gtd.json,41,36,0,36
3,2011010801,1790,415,252.0,105.0,4.0,13.0,6.0,8.0,1.0,0.0,0.0,22.0,25.0,36.0,1.0,4.0,0.6111111111111112,0.03278688524590164,SEA,2011-01-08,post,SEA,NO,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010801/2011010801_gtd.json,41,36,1,41
4,2011010900,2980,390,193.0,150.0,4.0,19.0,9.0,8.0,0.0,1.0,1.0,25.0,40.0,38.0,1.0,2.0,0.6578947368421053,0.04838709677419355,BAL,2011-01-09,post,KC,BAL,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010900/2011010900_gtd.json,7,30,1,30
5,2011010900,736,161,185.0,40.0,6.0,2.0,1.0,7.0,3.0,0.0,0.0,9.0,19.0,21.0,1.0,0.0,0.42857142857142855,0.0056179775280898875,KC,2011-01-09,post,KC,BAL,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010900/2011010900_gtd.json,7,30,0,7
6,2011010901,2029,309,221.0,110.0,6.0,13.0,8.0,5.0,0.0,0.0,0.0,18.0,32.0,29.0,0.0,3.0,0.6206896551724138,0.043243243243243246,GB,2011-01-09,post,PHI,GB,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010901/2011010901_gtd.json,16,21,1,21
7,2011010901,2508,352,324.0,150.0,6.0,12.0,5.0,8.0,1.0,1.0,1.0,20.0,21.0,40.0,1.0,1.0,0.5,0.027472527472527472,PHI,2011-01-09,post,PHI,GB,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010901/2011010901_gtd.json,16,21,0,16
8,2011011500,850,126,205.0,85.0,2.0,8.0,5.0,7.0,1.0,0.0,0.0,16.0,18.0,35.0,1.0,1.0,0.45714285714285713,0.027472527472527472,BAL,2011-01-15,post,PIT,BAL,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011011500/2011011500_gtd.json,31,24,0,24
9,2011011500,2161,263,348.0,84.0,7.0,11.0,7.0,7.0,0.0,1.0,1.0,19.0,31.0,38.0,2.0,2.0,0.5,0.03804347826086957,PIT,2011-01-15,post,PIT,BAL,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011011500/2011011500_gtd.json,31,24,1,31
