rusher_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
J.Jones,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
D.Freeman,0,20,,,1.0,0.0,0.0,0.0,0.0,0.0
D.Freeman,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Freeman,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Freeman,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Sproles,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Coleman,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Ryan,0,6,,,1.0,0.0,0.0,0.0,0.0,0.0
T.Coleman,0,-3,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Sproles,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
C.Clement,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Coleman,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Sproles,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
D.Sproles,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
C.Clement,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Coleman,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Coleman,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Ryan,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
N.Foles,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,3,,,1.0,0.0,0.0,0.0,0.0,0.0
C.Clement,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Freeman,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,8,,,1.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Sproles,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,1,1,,,1.0,0.0,0.0,1.0,0.0,1.0
T.Coleman,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
D.Freeman,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Coleman,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Coleman,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
N.Agholor,0,16,,,1.0,0.0,0.0,0.0,0.0,0.0
T.Coleman,1,9,,,1.0,0.0,0.0,1.0,0.0,1.0
J.Ajayi,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
C.Clement,0,21,,,1.0,0.0,0.0,0.0,0.0,0.0
C.Clement,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Ajayi,1,11,,,1.0,0.0,0.0,1.0,0.0,1.0
J.Ajayi,1,2,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Flacco,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
L.Jackson,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Flacco,0,3,,,1.0,0.0,0.0,0.0,0.0,0.0
A.Collins,1,8,,,1.0,0.0,0.0,1.0,0.0,1.0
L.McCoy,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Brown,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Collins,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Collins,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Murphy,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Murphy,0,9,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Collins,0,-3,,,0.0,0.0,0.0,0.0,0.0,0.0
L.McCoy,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Collins,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
A.Collins,0,-5,,,0.0,0.0,1.0,0.0,0.0,0.0
L.McCoy,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Allen,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
L.McCoy,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
N.Peterman,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
L.McCoy,0,12,,,1.0,0.0,0.0,0.0,0.0,0.0
L.McCoy,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
C.Bojorquez,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
A.Collins,0,5,,,1.0,0.0,0.0,0.0,0.0,0.0
J.Allen,1,1,,,1.0,0.0,0.0,1.0,0.0,1.0
M.Murphy,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Jackson,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Allen,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
J.Allen,0,14,,,1.0,0.0,0.0,0.0,0.0,0.0
C.Ivory,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
C.Ivory,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Allen,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
L.McCoy,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Allen,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Jackson,0,7,,,1.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Murphy,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,0,15,,,1.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Jackson,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
J.Allen,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,0,3,,,1.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
J.Allen,0,4,,,1.0,0.0,0.0,0.0,0.0,0.0
L.Jackson,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Jackson,0,16,,,1.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,1,2,,,1.0,0.0,0.0,1.0,0.0,1.0
C.Ivory,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Jackson,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
K.Dixon,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
K.Dixon,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Murphy,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
M.Murphy,0,9,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Fournette,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
C.Grant,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Fournette,0,12,,,1.0,0.0,0.0,0.0,0.0,0.0
L.Fournette,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Fournette,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,-3,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0
O.Beckham,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Fournette,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Fournette,0,6,,,1.0,0.0,0.0,0.0,0.0,0.0
L.Fournette,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
B.Bortles,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Fournette,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
L.Fournette,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,15,,,1.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
W.Gallman,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
T.Yeldon,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
