,receiver_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
2,J.Jones,0,10,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,C.Ridley,0,0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0
6,D.Freeman,0,0,-3.0,,0.0,0.0,0.0,0.0,0.0,0.0
7,J.Jones,0,33,24.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
10,D.Freeman,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
13,N.Agholor,0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,D.Sproles,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0
16,M.Sanu,0,0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0
20,T.Coleman,0,26,-9.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0
21,A.Hooper,0,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,A.Hooper,0,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
29,N.Agholor,0,6,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
35,J.Jones,0,0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0
38,D.Freeman,0,-7,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,N.Agholor,0,1,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
42,N.Agholor,0,10,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,N.Agholor,0,6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,D.Carter,0,10,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
49,D.Sproles,0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,D.Goedert,0,0,19.0,,0.0,0.0,0.0,0.0,0.0,0.0
54,Z.Ertz,0,10,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,J.Jones,0,22,23.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
60,M.Sanu,0,8,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
63,M.Sanu,0,0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0
67,D.Sproles,0,0,-5.0,,0.0,0.0,0.0,0.0,0.0,0.0
69,N.Agholor,0,4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Z.Ertz,0,7,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
