,rusher_player_name,receiver_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
0,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
1,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
2,,J.Jones,0,10,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,J.Jones,,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
4,D.Freeman,,0,20,,,1.0,0.0,0.0,0.0,0.0,0.0
5,,C.Ridley,0,0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0
6,,D.Freeman,0,0,-3.0,,0.0,0.0,0.0,0.0,0.0,0.0
7,,J.Jones,0,33,24.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
8,D.Freeman,,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
9,D.Freeman,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
10,,D.Freeman,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
11,D.Freeman,,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
12,D.Sproles,,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
13,,N.Agholor,0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,,D.Sproles,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0
15,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
16,,M.Sanu,0,0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0
17,T.Coleman,,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
18,M.Ryan,,0,6,,,1.0,0.0,0.0,0.0,0.0,0.0
19,T.Coleman,,0,-3,,,0.0,0.0,0.0,0.0,0.0,0.0
20,,T.Coleman,0,26,-9.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0
21,,A.Hooper,0,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,,,0,0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0
23,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
24,,A.Hooper,0,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
25,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0
26,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
