,rusher_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
3,J.Jones,0,11,,,1.0,0.0,0.0,0.0,0.0,0.0
4,D.Freeman,0,20,,,1.0,0.0,0.0,0.0,0.0,0.0
8,D.Freeman,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
9,D.Freeman,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
11,D.Freeman,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
12,D.Sproles,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
17,T.Coleman,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
18,M.Ryan,0,6,,,1.0,0.0,0.0,0.0,0.0,0.0
19,T.Coleman,0,-3,,,0.0,0.0,0.0,0.0,0.0,0.0
27,D.Sproles,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
31,C.Clement,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
36,T.Coleman,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
41,J.Ajayi,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
45,J.Ajayi,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
46,J.Ajayi,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
47,D.Sproles,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
48,D.Sproles,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
53,C.Clement,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
57,T.Coleman,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
59,T.Coleman,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
61,M.Ryan,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
89,N.Foles,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
93,J.Ajayi,0,3,,,1.0,0.0,0.0,0.0,0.0,0.0
95,C.Clement,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
99,D.Freeman,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
