game_date,drive,goal_to_go,air_yards,yards_after_catch,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,interception,punt_inside_twenty,tackled_for_loss,qb_hit,pass_attempt,sack,punt_attempt,fumble,return_yards,third_down_perc,fourth_down_perc,pass_perc,yards_per_deep_pass,yards_per_rush,yards_per_short_pass,yards_per_play,home,team_score
2019-01-05,18,0.0,352.0,139.0,0.0,7.0,13.0,0.0,1.0,2.0,0.0,7.0,52.0,3.0,5.0,0.0,56.0,0.00021640337589266391,0.0015360983102918587,0.0004885527047288532,3.3333333333333335,6.5625,5.0,4.735294117647059,1,7
2019-01-05,19,3.0,328.0,48.0,0.0,10.0,14.0,2.0,1.0,2.0,1.0,4.0,32.0,0.0,4.0,0.0,0.0,0.0006494443642661279,0.0,0.0003201240059307184,12.125,5.714285714285714,5.208333333333333,6.298507462686567,0,21
2019-01-05,24,3.0,245.0,103.0,0.0,9.0,11.0,3.0,1.0,1.0,1.0,4.0,34.0,1.0,5.0,0.0,37.0,0.0002886002886002886,0.0,0.00037068239258635215,6.75,4.823529411764706,6.862068965517241,5.588235294117647,1,24
2019-01-05,23,2.0,224.0,98.0,0.0,5.0,6.0,0.0,0.0,1.0,3.0,3.0,28.0,1.0,7.0,0.0,132.0,0.00014425851125216387,0.001539645881447267,0.0003032907041399181,23.714285714285715,2.9615384615384617,3.35,5.611111111111111,0,22
2019-01-06,26,0.0,250.0,95.0,0.0,4.0,7.0,0.0,1.0,1.0,2.0,9.0,36.0,7.0,6.0,4.0,152.0,0.0003606722931544399,0.001539645881447267,0.00023587289820399635,12.0,3.9130434782608696,6.090909090909091,3.8813559322033897,1,17
2019-01-06,27,8.0,195.0,90.0,0.0,3.0,8.0,3.0,0.0,0.0,4.0,8.0,34.0,1.0,5.0,1.0,78.0,0.00043277553375649163,0.0007698229407236335,0.00037068239258635215,7.5,2.696969696969697,4.423076923076923,3.656716417910448,0,23
2019-01-06,21,0.0,446.0,75.0,0.0,3.0,12.0,2.0,0.0,4.0,5.0,5.0,46.0,2.0,6.0,0.0,64.0,0.0003606462781304097,0.0,0.00043802752834543523,13.357142857142858,3.611111111111111,4.142857142857143,5.5625,1,15
2019-01-06,22,5.0,322.0,105.0,0.0,2.0,17.0,2.0,2.0,1.0,5.0,5.0,41.0,1.0,5.0,0.0,35.0,0.0004329004329004329,0.0007698229407236335,0.00042120870048691723,9.666666666666666,1.75,6.117647058823529,4.615384615384615,0,16
2019-01-12,22,0.0,308.0,48.0,0.0,4.0,10.0,1.0,0.0,2.0,2.0,5.0,39.0,3.0,7.0,2.0,86.0,0.0,0.0007698229407236335,0.0003200970399447411,11.666666666666666,6.214285714285714,4.433333333333334,5.018867924528302,0,12
2019-01-12,21,6.0,368.0,142.0,1.0,12.0,14.0,3.0,0.0,2.0,4.0,7.0,45.0,4.0,4.0,2.0,39.0,0.0002885378345235519,0.002307692307692308,0.0004548977322505644,3.6666666666666665,5.454545454545454,7.65625,5.551282051282051,1,31
2019-01-12,16,4.0,234.0,115.0,0.0,6.0,11.0,2.0,0.0,0.0,3.0,3.0,34.0,1.0,4.0,1.0,89.0,7.213966238638003e-05,0.002307692307692308,0.0003369726378218089,22.666666666666668,2.272727272727273,6.827586206896552,5.535714285714286,0,22
2019-01-12,17,10.0,237.0,71.0,0.0,17.0,11.0,2.0,0.0,0.0,1.0,1.0,28.0,0.0,1.0,1.0,0.0,0.0003607763907929865,0.001539645881447267,0.00025272522029215033,10.25,5.6875,6.304347826086956,6.0394736842105265,1,30
2019-01-13,23,4.0,577.0,127.0,0.0,2.0,16.0,4.0,1.0,1.0,1.0,7.0,55.0,2.0,6.0,0.0,161.0,0.0003607243344636029,0.0007698229407236335,0.00042112355765181505,10.277777777777779,1.9,4.424242424242424,5.184615384615385,0,28
2019-01-13,24,8.0,181.0,217.0,0.0,10.0,18.0,2.0,0.0,1.0,3.0,2.0,44.0,0.0,4.0,1.0,23.0,0.000505050505050505,0.0007698229407236335,0.0005728727885425442,20.5,4.5588235294117645,6.525,6.384615384615385,1,41
2019-01-13,20,6.0,372.0,133.0,0.0,9.0,14.0,2.0,1.0,0.0,2.0,4.0,40.0,2.0,3.0,2.0,45.0,0.0005772005772005772,0.001539645881447267,0.00047178553977320596,13.125,4.419354838709677,6.758620689655173,5.915492957746479,1,20
2019-01-13,19,2.0,313.0,87.0,0.0,2.0,11.0,2.0,2.0,3.0,0.0,4.0,31.0,0.0,5.0,0.0,41.0,0.0001443209698369173,0.0,0.00030328048390086096,8.375,3.0625,5.826086956521739,5.319148936170213,0,14
2019-01-20,23,9.0,276.0,131.0,0.0,5.0,14.0,0.0,1.0,1.0,4.0,6.0,42.0,1.0,4.0,1.0,18.0,0.00043280675178532783,0.0007698229407236335,0.0004380496680931361,20.833333333333332,2.9615384615384617,5.257142857142857,5.5588235294117645,0,26
2019-01-20,22,4.0,240.0,136.0,0.0,5.0,12.0,2.0,1.0,2.0,4.0,6.0,43.0,2.0,4.0,2.0,119.0,0.0004328692013563235,0.0,0.0004380496680931361,8.6,2.2857142857142856,5.722222222222222,4.53125,1,23
2019-01-20,21,2.0,420.0,132.0,0.0,3.0,11.0,4.0,0.0,1.0,1.0,8.0,35.0,4.0,5.0,1.0,154.0,0.0002886419396738346,0.0,0.0002695644848791172,12.0,3.4166666666666665,7.947368421052632,6.170212765957447,1,31
2019-01-20,23,8.0,388.0,151.0,0.0,15.0,20.0,1.0,2.0,2.0,0.0,1.0,46.0,0.0,2.0,0.0,95.0,0.000938018616061765,0.0007692307692307692,0.0005054419247228493,8.222222222222221,3.6666666666666665,7.405405405405405,5.574468085106383,0,37
2019-01-27,20,8.0,528.0,184.0,0.0,6.0,17.0,1.0,2.0,0.0,2.0,1.0,48.0,1.0,0.0,1.0,3.0,0.00036075036075036075,0.0,0.0003537557064164547,9.2,3.0,7.32258064516129,6.303030303030303,0,26
2019-01-27,21,0.0,284.0,56.0,0.0,2.0,6.0,2.0,3.0,1.0,1.0,7.0,36.0,7.0,4.0,0.0,29.0,7.213966238638003e-05,0.0015384615384615385,0.0002358808464752662,8.0,5.222222222222222,4.136363636363637,3.2888888888888888,1,7
2019-02-03,24,0.0,393.0,75.0,0.0,2.0,11.0,1.0,1.0,5.0,2.0,12.0,42.0,4.0,9.0,1.0,29.0,0.00021640337589266391,0.0,0.00032009164729269855,8.181818181818182,3.4444444444444446,5.346153846153846,4.333333333333333,1,3
2019-02-03,25,1.0,268.0,126.0,0.0,6.0,12.0,4.0,1.0,3.0,1.0,4.0,36.0,1.0,5.0,1.0,50.0,0.0002164189871591401,0.0,0.0003538153084090105,9.0,4.8125,7.172413793103448,5.985294117647059,0,13
2015-01-03,30,4.0,249.0,43.0,0.0,2.0,5.0,1.0,2.0,1.0,3.0,4.0,32.0,4.0,9.0,4.0,71.0,0.0002164189871591401,0.0,0.0002695871946082561,0.0,1.8,3.5652173913043477,1.6595744680851063,0,16
2015-01-03,29,4.0,193.0,113.0,0.0,12.0,9.0,4.0,1.0,3.0,6.0,3.0,33.0,1.0,4.0,2.0,70.0,0.0003606722931544399,0.0,0.00030327026435058045,11.5,4.585365853658536,5.833333333333333,5.216216216216216,1,27
2015-01-03,21,2.0,336.0,83.0,1.0,5.0,11.0,3.0,0.0,0.0,4.0,4.0,30.0,1.0,2.0,2.0,117.0,0.0002886002886002886,0.0007698229407236335,0.00030328048390086096,11.571428571428571,1.96,8.090909090909092,5.363636363636363,0,30
2015-01-03,20,6.0,458.0,123.0,0.0,5.0,15.0,2.0,2.0,2.0,2.0,5.0,54.0,5.0,3.0,2.0,81.0,0.0003606462781304097,0.0015384615384615385,0.0005559954846427308,12.615384615384615,3.5789473684210527,5.485714285714286,5.301369863013699,1,17
2015-01-04,24,3.0,307.0,111.0,0.0,6.0,7.0,1.0,0.0,3.0,3.0,5.0,38.0,3.0,8.0,1.0,115.0,0.0004328379743182802,0.0,0.00030324982731607053,0.0,5.238095238095238,5.166666666666667,4.305084745762712,0,10
2015-01-04,23,5.0,438.0,185.0,0.0,6.0,15.0,1.0,0.0,0.0,2.0,7.0,45.0,1.0,4.0,2.0,96.0,0.0004328692013563235,0.0,0.0005222987886037774,10.25,4.56,7.90625,6.885714285714286,1,26
2015-01-04,22,9.0,230.0,188.0,0.0,4.0,11.0,3.0,0.0,3.0,0.0,10.0,37.0,6.0,4.0,3.0,37.0,0.0004328692013563235,0.001539645881447267,0.0003201240059307184,4.25,3.4761904761904763,10.222222222222221,5.431034482758621,1,24
2015-01-04,21,0.0,287.0,210.0,0.0,4.0,14.0,1.0,1.0,1.0,1.0,3.0,45.0,3.0,4.0,3.0,13.0,0.0002886002886002886,0.0,0.00047175374454534735,8.75,4.090909090909091,7.4411764705882355,5.925373134328358,0,20
2015-01-10,24,4.0,408.0,135.0,0.0,10.0,16.0,2.0,2.0,0.0,1.0,4.0,45.0,0.0,4.0,1.0,193.0,7.214486689272058e-05,0.0023094688221709007,0.00047173784853845506,9.125,4.857142857142857,5.918918918918919,5.863013698630137,0,31
2015-01-10,23,5.0,439.0,161.0,0.0,4.0,22.0,3.0,1.0,1.0,1.0,8.0,53.0,2.0,5.0,2.0,150.0,0.00043296290951075193,0.0,0.0005728148797088752,20.0,1.0769230769230769,6.622222222222222,6.393939393939394,1,35
2015-01-10,18,0.0,371.0,84.0,0.0,6.0,14.0,1.0,2.0,1.0,0.0,8.0,38.0,2.0,4.0,3.0,165.0,0.0006493506493506494,0.0007698229407236335,0.00038752506276221123,6.125,4.4,7.035714285714286,5.323529411764706,0,17
2015-01-10,19,0.0,215.0,146.0,0.0,5.0,10.0,1.0,0.0,3.0,2.0,2.0,24.0,2.0,4.0,2.0,26.0,0.0005050869471101812,0.0,0.00025275077088985124,20.714285714285715,3.5714285714285716,8.2,6.6923076923076925,1,30
2015-01-11,16,2.0,143.0,110.0,0.0,9.0,9.0,3.0,0.0,0.0,0.0,6.0,23.0,4.0,2.0,3.0,92.0,0.0002886627697192755,0.0,0.00025276354812617957,6.666666666666667,5.178571428571429,10.6875,6.176470588235294,0,21
2015-01-11,17,3.0,321.0,150.0,0.0,6.0,16.0,1.0,0.0,0.0,3.0,2.0,37.0,1.0,2.0,2.0,55.0,0.0006494443642661279,0.0,0.0004043739785344813,12.875,3.966666666666667,7.888888888888889,6.343283582089552,1,26
2015-01-11,24,2.0,475.0,78.0,0.0,6.0,10.0,3.0,0.0,1.0,2.0,3.0,48.0,2.0,6.0,1.0,7.0,0.000288496213487198,0.0007692307692307692,0.0004380053908355795,4.083333333333333,4.4,4.909090909090909,4.235294117647059,1,13
2015-01-11,23,8.0,336.0,112.0,0.0,6.0,15.0,2.0,2.0,1.0,2.0,4.0,43.0,0.0,4.0,0.0,33.0,0.0003607243344636029,0.0,0.0004548977322505644,13.571428571428571,3.5357142857142856,4.722222222222222,5.126760563380282,0,24
2015-01-18,27,8.0,283.0,57.0,0.0,6.0,11.0,2.0,2.0,0.0,3.0,6.0,35.0,1.0,5.0,0.0,44.0,0.00021638776687824582,0.0,0.0003201186123700571,0.0,4.5,6.137931034482759,4.707692307692308,0,22
2015-01-18,29,3.0,371.0,57.0,0.0,10.0,10.0,0.0,4.0,2.0,1.0,8.0,36.0,5.0,5.0,3.0,155.0,0.0005771589351417646,0.0007698229407236335,0.0002527337365840508,16.0,5.542857142857143,4.0,5.619718309859155,1,28
2015-01-18,22,1.0,357.0,51.0,0.0,6.0,7.0,4.0,2.0,0.0,0.0,5.0,33.0,0.0,5.0,0.0,212.0,0.00021643460067816175,0.0,0.00020215973988780135,3.6,4.368421052631579,3.9130434782608696,4.019230769230769,0,7
2015-01-18,21,8.0,267.0,90.0,0.0,14.0,13.0,1.0,1.0,1.0,2.0,2.0,36.0,1.0,3.0,2.0,60.0,0.0008658633379031676,0.001539645881447267,0.00038752506276221123,10.4,4.425,5.8,5.223684210526316,1,45
2015-01-25,24,0.0,466.0,118.0,0.0,8.0,15.0,1.0,1.0,1.0,1.0,5.0,55.0,2.0,4.0,0.0,8.0,0.0002885794675708823,0.0007686395080707148,0.0005222459947101535,10.461538461538462,8.285714285714286,5.657894736842105,6.579710144927536,1,28
2015-01-25,25,9.0,383.0,255.0,0.0,7.0,22.0,1.0,1.0,1.0,2.0,1.0,47.0,0.0,1.0,3.0,5.0,0.0001443209698369173,0.0007692307692307692,0.0005054248938607723,20.77777777777778,6.166666666666667,7.2631578947368425,8.605633802816902,0,32
2015-02-01,23,4.0,295.0,196.0,0.0,1.0,21.0,3.0,2.0,1.0,1.0,7.0,51.0,1.0,4.0,0.0,69.0,0.0005772422252687784,0.0,0.000623409883573992,7.166666666666667,2.7142857142857144,6.4772727272727275,5.236111111111111,0,28
2015-02-01,22,4.0,413.0,26.0,0.0,8.0,10.0,2.0,1.0,1.0,0.0,4.0,24.0,3.0,6.0,0.0,30.0,0.00021645021645021645,0.0,0.00020219720967850643,15.461538461538462,5.586206896551724,5.75,7.471698113207547,1,24
2016-01-09,23,2.0,336.0,46.0,0.0,3.0,10.0,1.0,4.0,1.0,1.0,2.0,37.0,3.0,5.0,2.0,69.0,0.0004328692013563235,0.0,0.00025271670457417233,4.714285714285714,4.56,3.814814814814815,3.6451612903225805,1,0
2016-01-09,24,2.0,178.0,97.0,0.0,8.0,8.0,2.0,1.0,3.0,2.0,4.0,25.0,3.0,4.0,0.0,106.0,0.0002886002886002886,0.0,0.0002864653545430035,16.0,3.810810810810811,7.0,5.064516129032258,0,30
2016-01-09,29,2.0,316.0,68.0,0.0,5.0,11.0,3.0,1.0,3.0,4.0,5.0,44.0,3.0,6.0,5.0,93.0,0.0003606722931544399,0.0007698229407236335,0.0003874858904594235,8.125,3.64,4.454545454545454,4.043478260869565,1,16
2016-01-09,28,2.0,206.0,179.0,0.0,6.0,10.0,5.0,1.0,3.0,3.0,7.0,41.0,4.0,7.0,2.0,50.0,0.00014425851125216387,0.0007698229407236335,0.0003369556060988965,4.0,5.758620689655173,7.2,5.271428571428571,0,18
2016-01-10,21,4.0,134.0,87.0,0.0,4.0,6.0,4.0,0.0,1.0,4.0,6.0,27.0,3.0,5.0,1.0,75.0,0.00021640337589266391,0.0007698229407236335,0.0002864508736751647,0.0,2.0,6.636363636363637,3.267857142857143,1,9
2016-01-10,22,2.0,267.0,81.0,0.0,2.0,9.0,2.0,1.0,2.0,2.0,6.0,28.0,2.0,5.0,2.0,43.0,0.0003606983119319002,0.0,0.00021903221458417576,3.6666666666666665,3.3214285714285716,6.0,3.9642857142857144,0,10
2016-01-10,26,4.0,365.0,78.0,0.0,11.0,11.0,2.0,0.0,1.0,3.0,2.0,38.0,1.0,4.0,1.0,27.0,0.00021643460067816175,0.0007698229407236335,0.0003538033864038413,6.75,4.40625,5.571428571428571,4.9714285714285715,0,35
2016-01-10,25,8.0,381.0,155.0,0.0,5.0,14.0,1.0,0.0,3.0,3.0,11.0,52.0,6.0,5.0,3.0,125.0,0.0003606722931544399,0.0007680491551459293,0.000488569166231447,8.6,4.666666666666667,6.75,5.057142857142857,1,18
2016-01-16,18,12.0,393.0,81.0,0.0,10.0,14.0,3.0,0.0,2.0,3.0,5.0,51.0,1.0,3.0,1.0,112.0,0.000865738402712647,0.0007692307692307692,0.0004885362443355065,5.777777777777778,4.21875,4.85,4.554216867469879,0,20
2016-01-16,19,3.0,276.0,126.0,0.0,3.0,17.0,1.0,0.0,0.0,1.0,1.0,42.0,0.0,3.0,0.0,53.0,0.0004329316689515838,0.0,0.0004717457964079927,21.0,2.7142857142857144,6.666666666666667,6.071428571428571,1,27
2016-01-16,21,13.0,392.0,163.0,0.0,2.0,16.0,2.0,2.0,2.0,3.0,4.0,44.0,3.0,3.0,1.0,37.0,0.0003607243344636029,0.0007698229407236335,0.00042120160393570777,10.444444444444445,2.1052631578947367,7.96875,5.841269841269841,1,26
2016-01-16,20,3.0,538.0,78.0,0.0,5.0,12.0,1.0,1.0,0.0,3.0,2.0,45.0,1.0,4.0,0.0,90.0,0.000505014068249044,0.0007692307692307692,0.0004043194797756027,8.416666666666666,6.136363636363637,5.0,5.7611940298507465,0,20
2016-01-17,21,3.0,161.0,63.0,0.0,7.0,12.0,0.0,0.0,2.0,4.0,1.0,23.0,1.0,5.0,1.0,67.0,0.0005772005772005772,0.0,0.0002696053651467664,12.0,3.5121951219512195,6.578947368421052,4.609375,1,30
2016-01-17,20,3.0,476.0,100.0,0.0,5.0,18.0,0.0,2.0,2.0,1.0,14.0,53.0,5.0,3.0,1.0,106.0,0.0003607763907929865,0.0007692307692307692,0.0005222811894532895,8.818181818181818,6.5,7.685714285714286,6.2,0,24
2016-01-17,27,4.0,335.0,81.0,0.0,6.0,12.0,1.0,0.0,3.0,5.0,3.0,39.0,1.0,6.0,2.0,20.0,0.00021637216011539847,0.0,0.0003537974257025406,6.25,3.303030303030303,5.931034482758621,4.527777777777778,1,23
2016-01-17,26,1.0,324.0,164.0,0.0,4.0,10.0,2.0,0.0,1.0,3.0,3.0,40.0,3.0,6.0,1.0,42.0,0.00014426891726177594,0.0,0.0004043603524674406,17.285714285714285,4.473684210526316,7.517241379310345,6.711864406779661,0,16
2016-01-24,30,4.0,369.0,31.0,0.0,2.0,9.0,1.0,0.0,4.0,5.0,4.0,35.0,3.0,9.0,1.0,51.0,0.00043277553375649163,0.0,0.000286412265184062,7.857142857142857,3.3,4.84,3.753846153846154,1,20
2016-01-24,29,5.0,460.0,127.0,0.0,3.0,13.0,4.0,2.0,1.0,1.0,19.0,61.0,4.0,6.0,1.0,52.0,0.00014423770373575654,0.0015372790161414297,0.00045479812016776996,9.636363636363637,2.588235294117647,4.533333333333333,4.3076923076923075,0,18
2016-01-24,26,2.0,479.0,112.0,0.0,5.0,14.0,2.0,4.0,1.0,2.0,6.0,44.0,3.0,4.0,2.0,110.0,0.00021645021645021645,0.001539645881447267,0.00038750547562085115,2.625,3.6470588235294117,6.484848484848484,4.737704918032787,0,15
